source_scan,fourier_number,spatial_points,quantum_steps_nt,status,strict_accuracy_passed_1_0,physics_audit_passed_1_0,max_abs_error_k,rmse_k,relative_l2_error,runtime_s,min_temperature_k,max_temperature_k
working_region_fo,0.001,32,1,success,1,1,0.00862296566998566,0.006372585727279305,0.0000896262071933825,1.866194661706686,9.41806361079216,98.89711737632751
working_region_fo,0.001,32,2,success,1,1,0.009749493456240543,0.007120470734828982,0.00010014471561556569,2.225667058955878,9.412870556116104,98.89599084854126
working_region_fo,0.005,32,1,success,1,1,0.2418989877391482,0.17616357214587355,0.0025773933212166187,1.6760171670466661,9.238842129707336,94.83526945114136
working_region_fo,0.005,32,2,success,1,1,0.08079359337574488,0.05771711595660436,0.000844440807905823,2.259494401048869,9.091868996620178,94.99637484550476
working_region_fo,0.01,32,1,success,1,1,1.8438735945474605,1.2638418572076606,0.019426246670974576,1.7239170907996595,9.451647847890854,88.65531086921692
working_region_fo,0.01,32,2,success,1,1,0.43946895434970656,0.30333175534916285,0.00466244844554499,2.30008627101779,8.790314197540283,90.05971550941467
working_region_fo,0.02,32,1,success,0,0,27.818923577837523,18.56900944780474,0.31502719687213776,1.5672192820347846,12.79376745223999,54.17497158050537
working_region_fo,0.02,32,2,success,0,1,3.108649835161742,2.0929719126952286,0.03550771389512342,2.3162874579429626,8.463644981384277,78.88524532318115
working_region_fo,0.02,32,4,success,1,1,0.7472568603082266,0.5072148262275084,0.008605007465130599,3.517725571990013,7.94193297624588,81.24663829803467
working_region_fo,0.02,32,8,success,1,1,0.2567225547357168,0.17695003766726877,0.0030019950449930457,5.852322190068662,7.8292518854141235,81.73717260360718
working_region_gapfill,0.03,32,1,success,0,0,70.03010662864476,45.97686362499604,0.8609180253645393,1.8425678168423474,-8.925104886293411,144.31805610656738
working_region_gapfill,0.03,32,2,success,0,1,11.283759748232086,7.703530658443003,0.14424882168770403,2.2151149483397603,8.373909443616867,63.00418972969055
working_region_gapfill,0.03,32,4,success,0,1,2.088217412721832,1.4235117131093455,0.026655295653249242,3.44308927282691,7.322315871715546,72.1997320652008
working_region_gapfill,0.03,32,8,success,1,1,0.5343362443563535,0.36516316844828955,0.006837690288761778,5.638784507289529,7.125302404165268,73.75361323356628
working_region_gapfill,0.03,32,16,success,1,1,0.20109263588162207,0.1398817153748231,0.002619288935568571,10.436281956266612,7.07663893699646,74.08685684204102
working_region_fo,0.04,32,1,success,0,0,36.156767223366,29.1030763371306,0.6014845892934234,1.5398691580630839,-0.649917172268033,103.24170589447021
working_region_fo,0.04,32,2,success,0,0,35.701939506452746,24.716801399618113,0.5108317404757973,2.303024701308459,7.486023008823395,31.604284048080444
