position_m,analytic_temperature_k,classical_temperature_k,quantum_gpu_temperature_k,quantum_cpu_temperature_k,abs_error_gpu_k,abs_error_cpu_k
0,0,0,0,0,0,0
0.00030303030303030303,9.412249222875673,9.412310205194139,9.412875771522522,9.412870556116104,0.0006265486468493009,0.0006213332404314542
0.0006060606060606061,18.739259659266136,18.739381071637744,18.7380388379097,18.738028407096863,0.0012208213564370851,0.0012312521692727785
0.0009090909090909091,27.896564458336144,27.896745201231653,27.893856167793274,27.893802523612976,0.0027082905428699178,0.0027619347231677693
0.0012121212121212121,36.80123364978158,36.80147208636534,36.79743409156799,36.797475814819336,0.0037995582135863515,0.003757834962243578
0.0015151515151515152,45.372625170482586,45.37291914143598,45.36789059638977,45.367974042892456,0.00473457409281508,0.0046511275901295335
0.0018181818181818182,53.53311517151487,53.53346201459143,53.527623414993286,53.52760553359985,0.005491756521585955,0.005509637915018573
0.002121212121212121,61.208800991745974,61.20919756588107,61.20254993438721,61.20252013206482,0.006251057358767298,0.006280859681154993
0.0024242424242424242,68.33017043177853,68.33061314553538,68.3231770992279,68.32324266433716,0.0069933325506212896,0.00692776744136836
0.0027272727272727275,74.83273126719223,74.83321611128652,74.82515573501587,74.82509016990662,0.007575532176360866,0.007641097285613796
0.0030303030303030303,80.65759530011513,80.65811788372365,80.6494414806366,80.6494414806366,0.008153819478536661,0.008153819478536661
0.003333333333333333,85.75201165986256,85.75256725038723,85.74339747428894,85.74336171150208,0.008614185573620148,0.008649948360485382
0.0036363636363636364,90.06984452299079,90.07042808891777,90.06083607673645,90.06080031394958,0.009008446254341607,0.009044209041206841
0.00393939393939394,93.57199092645837,93.57259718292426,93.56263875961304,93.5626745223999,0.009352166845332022,0.009316404058466787
0.004242424242424242,96.22673489011467,96.22735834676705,96.2171733379364,96.2171196937561,0.00956155217826904,0.009615196358566891
0.004545454545454545,98.01003464152755,98.01066965224643,98.00031185150146,98.00042510032654,0.009722790026089001,0.009609541201015759
0.0048484848484848485,98.9057403419975,98.90638115602745,98.89591336250305,98.89599084854126,0.009826979494448551,0.009749493456240543
0.005151515151515152,98.90574034199749,98.90638115602745,98.89591336250305,98.89599084854126,0.00982697949443434,0.009749493456226332
0.005454545454545455,98.01003464152755,98.01066965224643,98.00031185150146,98.00042510032654,0.009722790026089001,0.009609541201015759
0.005757575757575757,96.22673489011468,96.22735834676705,96.2171733379364,96.2171196937561,0.00956155217828325,0.009615196358581102
0.006060606060606061,93.57199092645838,93.57259718292426,93.56263875961304,93.5626745223999,0.009352166845346233,0.009316404058480998
0.006363636363636364,90.0698445229908,90.07042808891778,90.06083607673645,90.06080031394958,0.009008446254355817,0.009044209041221052
0.006666666666666666,85.75201165986259,85.75256725038724,85.74339747428894,85.74336171150208,0.00861418557364857,0.008649948360513804
0.0069696969696969695,80.65759530011515,80.65811788372366,80.6494414806366,80.6494414806366,0.008153819478550872,0.008153819478550872
0.007272727272727273,74.83273126719223,74.83321611128653,74.82515573501587,74.82509016990662,0.007575532176360866,0.007641097285613796
0.007575757575757576,68.33017043177855,68.3306131455354,68.3231770992279,68.32324266433716,0.006993332550649711,0.006927767441396782
0.00787878787878788,61.208800991745974,61.20919756588109,61.20254993438721,61.20252013206482,0.006251057358767298,0.006280859681154993
0.008181818181818182,53.53311517151489,53.53346201459145,53.527623414993286,53.52760553359985,0.005491756521607272,0.005509637915039889
0.008484848484848484,45.372625170482635,45.37291914143601,45.36789059638977,45.367974042892456,0.004734574092864818,0.0046511275901792715
0.008787878787878787,36.80123364978159,36.801472086365365,36.79743409156799,36.797475814819336,0.003799558213593457,0.0037578349622506835
0.00909090909090909,27.896564458336183,27.896745201231678,27.893856167793274,27.893802523612976,0.0027082905429089976,0.002761934723206849
0.009393939393939394,18.739259659266168,18.739381071637766,18.7380388379097,18.738028407096863,0.0012208213564690595,0.001231252169304753
0.009696969696969697,9.412249222875694,9.412310205194153,9.412875771522522,9.412870556116104,0.0006265486468279846,0.0006213332404101379
0.01,1.2126194698306634e-14,0,0,0,1.2126194698306634e-14,1.2126194698306634e-14
