layer_index,comparison,max_abs_error_k,rmse_k,relative_l2_error
1,semi_discrete_vs_analytic,0.0007370251071279199,0.000529835986714167,0.000007451793032846063
2,recovery_vs_semi_discrete,0.004276111369520663,0.0030740305394329104,0.000043233886020685827
3,trotter_vs_recovery,0.006287893232041597,0.004593367524914934,0.00006460499062278913
4,trotter_vs_semi_discrete,0.01056400460156226,0.007659090915288943,0.00010771924982721835
5,trotter_vs_analytic,0.009826979494448551,0.007130176547467133,0.00010028122145663477
