point_index,x_m,x_mm,is_protocol_boundary,analytic_k,classical_fd_k,quantum_gpu_k,quantum_cpu_k,abs_error_quantum_gpu_k,abs_error_quantum_cpu_k,abs_error_classical_fd_k
0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00030303030303030303,0.30303030303030304,0,9.412249222875673,9.412310205194139,9.412875771522522,9.412870556116104,0.0006265486468493009,0.0006213332404314542,6.098231846607405e-05
2,0.0006060606060606061,0.6060606060606061,0,18.739259659266136,18.739381071637744,18.7380388379097,18.738028407096863,0.0012208213564370851,0.0012312521692727785,0.00012141237160889773
3,0.0009090909090909091,0.9090909090909091,0,27.896564458336144,27.896745201231653,27.893856167793274,27.893802523612976,0.0027082905428699178,0.0027619347231677693,0.00018074289550895628
4,0.0012121212121212121,1.2121212121212122,0,36.80123364978158,36.80147208636534,36.79743409156799,36.797475814819336,0.0037995582135863515,0.003757834962243578,0.00023843658375710675
5,0.0015151515151515152,1.5151515151515151,0,45.372625170482586,45.37291914143598,45.36789059638977,45.367974042892456,0.00473457409281508,0.0046511275901295335,0.000293970953393341
6,0.0018181818181818182,1.8181818181818181,0,53.53311517151487,53.53346201459143,53.527623414993286,53.52760553359985,0.005491756521585955,0.005509637915018573,0.00034684307655652447
7,0.002121212121212121,2.121212121212121,0,61.208800991745974,61.20919756588107,61.20254993438721,61.20252013206482,0.006251057358767298,0.006280859681154993,0.0003965741350953067
8,0.0024242424242424242,2.4242424242424243,0,68.33017043177853,68.33061314553538,68.3231770992279,68.32324266433716,0.0069933325506212896,0.00692776744136836,0.0004427137568541184
9,0.0027272727272727275,2.7272727272727275,0,74.83273126719223,74.83321611128652,74.82515573501587,74.82509016990662,0.007575532176360866,0.007641097285613796,0.0004848440942879506
10,0.0030303030303030303,3.0303030303030303,0,80.65759530011513,80.65811788372365,80.6494414806366,80.6494414806366,0.008153819478536661,0.008153819478536661,0.0005225836085145374
11,0.003333333333333333,3.333333333333333,0,85.75201165986256,85.75256725038723,85.74339747428894,85.74336171150208,0.008614185573620148,0.008649948360485382,0.0005555905246694692
12,0.0036363636363636364,3.6363636363636362,0,90.06984452299079,90.07042808891777,90.06083607673645,90.06080031394958,0.009008446254341607,0.009044209041206841,0.0005835659269735061
13,0.00393939393939394,3.9393939393939394,0,93.57199092645837,93.57259718292426,93.56263875961304,93.5626745223999,0.009352166845332022,0.009316404058466787,0.0006062564658861902
14,0.004242424242424242,4.242424242424242,0,96.22673489011467,96.22735834676705,96.2171733379364,96.2171196937561,0.00956155217826904,0.009615196358566891,0.0006234566523772855
15,0.004545454545454545,4.545454545454545,0,98.01003464152755,98.01066965224643,98.00031185150146,98.00042510032654,0.009722790026089001,0.009609541201015759,0.0006350107188808352
